ISCO 08	CP2021	unique ID	ID	identity term	toxicity	number	word's gender	gender specification	second category	further specification	glossary	language	notes
011	9.1.1.1.0	648-s-n-*-it	648	l* ufficiale delle forze armate	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
011	9.1.1.1.0	648-s-m-b-it	648	lo ufficiale delle forze armate	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
011	9.1.1.1.0	648-s-f-b-it	648	la ufficiale delle forze armate	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
011	9.1.1.1.0	648-p-n-*-it	648	l* ufficiali delle forze armate	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
011	9.1.1.1.0	648-p-m-b-it	648	gli ufficiali delle forze armate	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
011	9.1.1.1.0	648-p-f-b-it	648	le ufficiali delle forze armate	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
021	9.2.1.1.0	649-sp-n-*-it	649	l* sergent*, sovraintendent* e maresciall* delle forze armate	toxic free	singular, plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
021	9.2.1.1.0	649-s-m-b-it	649	il sergente, sovraintendente e maresciallo delle forze armate	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
021	9.2.1.1.0	649-s-f-b-it	649	la sergente, sovraintendente e marescialla delle forze armate	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
021	9.2.1.1.0	649-p-m-b-it	649	i sergenti, sovraintendenti e marescialli delle forze armate	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
021	9.2.1.1.0	649-p-f-b-it	649	le sergenti, sovraintendenti e marescialle delle forze armate	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
031	9.3.1.1.0	650-s-n-i-it	650	la truppa delle forze armate	toxic free	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
