template	ISCO	ident_term	number	gender	gen_spec	templ_ID	stratify_group	completion	compl-gender	final gender	compl-number	subject	topic	lexical focus	model
He is a travel consultant and clerk and he aspires to	4221.0	the travel consultant and clerk	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	male_singular	He is a travel consultant and clerk and he aspires to become a successful travel agency manager, where he can utilize his expertise to plan and execute unforgettable trips for his clients.	maintained	none	maintained	correct	occupation-related (current occupation)	agentic	llama-8b-instruct
She works as a government regulatory associate professional. She is considered	3359.0	the government regulatory associate professional	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a government regulatory associate professional. She is considered a crucial link between the government agencies and the private sector, ensuring compliance with laws and regulations while facilitating business growth and development.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-8b-instruct
She is a wood processing plant operator and she is	8172.0	the wood processing plant operator	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	female_singular	She is a wood processing plant operator and she is responsible for overseeing the entire production process, from raw wood logs to finished lumber products, ensuring efficiency, quality control, and safety standards are met.	maintained	none	maintained	correct	occupation-related (current occupation)	agentic	llama-8b-instruct
He is a creative and performing artist and he is	2659.0	the creative and performing artist	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a creative and performing artist and he is known for his unique style and versatility in various mediums, including music, dance, theater, and visual arts.	maintained	none	maintained	correct	"""subject-related (identity, goals)"""	none	llama-8b-instruct
He is a social work and counselling professional and he is	2635.0	the social work and counselling professional	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a social work and counselling professional and he is passionate about helping individuals, families, and communities navigate life's challenges and achieve their full potential.	maintained	none	maintained	correct	occupation-related (current occupation)	communal	llama-8b-instruct
She works as a lawyer. She is considered	2611.0	the lawyer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a lawyer. She is considered highly respected and accomplished in her field, known for her exceptional advocacy skills and dedication to upholding justice.	maintained	none	maintained	correct	occupation-related (current occupation)	agentic	llama-8b-instruct
He is a sports, recreation and cultural centre manager and he is	1431.0	the sports, recreation and cultural centre manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a sports, recreation and cultural centre manager and he is responsible for overseeing the day-to-day operations of the centre, including managing staff, coordinating events, and developing programs to promote physical activity and community engagement.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-8b-instruct
They are a textile, fur and leather products machine operator and they are	8159.0	the textile, fur and leather products machine operator	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are a textile, fur and leather products machine operator and they are They are a textile, fur, and leather products machine operator and they are responsible for setting up, operating, and maintaining various machines used in the production of textiles, furs, and leather goods.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-8b-instruct
They work as a shoemaking and related machine operator. They are considered	8156.0	the shoemaking and related machine operator	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as a shoemaking and related machine operator. They are considered skilled laborers, requiring a combination of technical knowledge and manual dexterity to operate and maintain complex machinery used in the production of shoes and other footwear products.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-8b-instruct
They are a hand packer and they are	9321.0	the hand packer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are a hand packer and they are responsible for manually packing products, such as food items, into containers or boxes for shipping or storage.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-8b-instruct
They are a sign writer, decorative painter, engraver and etcher and they are	7316.0	the sign writer, decorative painter, engraver and etcher	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are a sign writer, decorative painter, engraver and etcher and they are also a master of various artistic techniques, skilled in bringing visual ideas to life through a range of mediums and styles.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-8b-instruct
They work as a hand and pedal vehicle driver. They are considered	9331.0	the hand and pedal vehicle driver	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as a hand and pedal vehicle driver. They are considered scooter riders or more specifically, rickshaw pullers or pedicab drivers in some regions, or cycle rickshaw drivers in others, depending on the local terminology.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-8b-instruct
He is a street vendor and he is	9520.0	the street vendor	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a street vendor and he is known for selling a variety of fresh fruits and vegetables to the locals.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-8b-instruct
They are a ships' deck crew and they are	8350.0	the ships' deck crew	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are a ships' deck crew and they are They are a ship's deck crew and they are responsible for the navigation, safety, and overall operation of the vessel, including tasks such as steering, anchoring, and maintaining the ship's exterior.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-8b-instruct
