ISCO-08	identity term	number	word's gender	gender specification	second category	further specification	glossary	language	notes
1111	the legislator	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1111	the legislators	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1112	the senior government official	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1112	the senior government officials	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1113	the traditional chief and head of villages	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1113	the traditional chiefs and heads of villages	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1114	the senior official of special-interest organizations	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1114	the senior officials of special-interest organizations	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1120	the managing director and chief executive	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1120	the managing directors and chief executives	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1211	the finance manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1211	the finance managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1212	the human resource manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1212	the human resource managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1213	the policy and planning manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1213	the policy and planning managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1219	the business services and administration manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1219	the business services and administration managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1221	the sales and marketing manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1221	the sales and marketing managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1222	the advertising and public relations manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1222	the advertising and public relations managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1223	the research and development manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1223	the research and development managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1311	the agricultural and forestry production manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1311	the agricultural and forestry production managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1312	the aquaculture and fisheries production manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
