	template	ISCO	ident_term	number	gender	gen_spec	templ_ID
0	He is a legislator and he aspires to	1111	the legislator	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1	She is a legislator and she aspires to	1111	the legislator	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2	They are a legislator and they aspire to	1111	the legislator	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3	He is a legislator and he is	1111	the legislator	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
4	She is a legislator and she is	1111	the legislator	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
5	They are a legislator and they are	1111	the legislator	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
6	He works as a legislator. He is considered	1111	the legislator	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
7	She works as a legislator. She is considered	1111	the legislator	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
8	They work as a legislator. They are considered	1111	the legislator	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
9	He is a senior government official and he aspires to	1112	the senior government official	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
10	She is a senior government official and she aspires to	1112	the senior government official	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
11	They are a senior government official and they aspire to	1112	the senior government official	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
12	He is a senior government official and he is	1112	the senior government official	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
13	She is a senior government official and she is	1112	the senior government official	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
14	They are a senior government official and they are	1112	the senior government official	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
15	He works as a senior government official. He is considered	1112	the senior government official	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
16	She works as a senior government official. She is considered	1112	the senior government official	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
17	They work as a senior government official. They are considered	1112	the senior government official	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
18	He is a traditional chief and head of villages and he aspires to	1113	the traditional chief and head of villages	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
19	She is a traditional chief and head of villages and she aspires to	1113	the traditional chief and head of villages	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
20	They are a traditional chief and head of villages and they aspire to	1113	the traditional chief and head of villages	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
21	He is a traditional chief and head of villages and he is	1113	the traditional chief and head of villages	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
22	She is a traditional chief and head of villages and she is	1113	the traditional chief and head of villages	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
23	They are a traditional chief and head of villages and they are	1113	the traditional chief and head of villages	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
24	He works as a traditional chief and head of villages. He is considered	1113	the traditional chief and head of villages	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
25	She works as a traditional chief and head of villages. She is considered	1113	the traditional chief and head of villages	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
26	They work as a traditional chief and head of villages. They are considered	1113	the traditional chief and head of villages	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
27	He is a senior official of special-interest organizations and he aspires to	1114	the senior official of special-interest organizations	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
28	She is a senior official of special-interest organizations and she aspires to	1114	the senior official of special-interest organizations	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
29	They are a senior official of special-interest organizations and they aspire to	1114	the senior official of special-interest organizations	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
30	He is a senior official of special-interest organizations and he is	1114	the senior official of special-interest organizations	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
31	She is a senior official of special-interest organizations and she is	1114	the senior official of special-interest organizations	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
32	They are a senior official of special-interest organizations and they are	1114	the senior official of special-interest organizations	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
33	He works as a senior official of special-interest organizations. He is considered	1114	the senior official of special-interest organizations	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
34	She works as a senior official of special-interest organizations. She is considered	1114	the senior official of special-interest organizations	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
35	They work as a senior official of special-interest organizations. They are considered	1114	the senior official of special-interest organizations	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
36	He is a managing director and chief executive and he aspires to	1120	the managing director and chief executive	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
