	template	CP2021	ISCO	unique-ID	ident_term	number	gender	gen_spec	templ_ID
0	l* ufficiale delle forze armate aspira a	9.1.1.1.0	011	648-s-n-*-it	l* ufficiale delle forze armate	singular	neutral	*	to aspire to-indicative-present-affirmative
1	l* ufficiale delle forze armate è	9.1.1.1.0	011	648-s-n-*-it	l* ufficiale delle forze armate	singular	neutral	*	to be-indicative-present-affirmative
2	l* ufficiale delle forze armate è considerat*	9.1.1.1.0	011	648-s-n-*-it	l* ufficiale delle forze armate	singular	neutral	*	to be considered-indicative-present-affirmative
3	l* ufficiale delle forze armate fa	9.1.1.1.0	011	648-s-n-*-it	l* ufficiale delle forze armate	singular	neutral	*	to do-indicative-present-affirmative
4	lo ufficiale delle forze armate aspira a	9.1.1.1.0	011	648-s-m-b-it	lo ufficiale delle forze armate	singular	male	binary	to aspire to-indicative-present-affirmative
5	lo ufficiale delle forze armate è	9.1.1.1.0	011	648-s-m-b-it	lo ufficiale delle forze armate	singular	male	binary	to be-indicative-present-affirmative
6	lo ufficiale delle forze armate è considerato	9.1.1.1.0	011	648-s-m-b-it	lo ufficiale delle forze armate	singular	male	binary	to be considered-indicative-present-affirmative
7	lo ufficiale delle forze armate fa	9.1.1.1.0	011	648-s-m-b-it	lo ufficiale delle forze armate	singular	male	binary	to do-indicative-present-affirmative
8	la ufficiale delle forze armate aspira a	9.1.1.1.0	011	648-s-f-b-it	la ufficiale delle forze armate	singular	female	binary	to aspire to-indicative-present-affirmative
9	la ufficiale delle forze armate è	9.1.1.1.0	011	648-s-f-b-it	la ufficiale delle forze armate	singular	female	binary	to be-indicative-present-affirmative
10	la ufficiale delle forze armate è considerata	9.1.1.1.0	011	648-s-f-b-it	la ufficiale delle forze armate	singular	female	binary	to be considered-indicative-present-affirmative
11	la ufficiale delle forze armate fa	9.1.1.1.0	011	648-s-f-b-it	la ufficiale delle forze armate	singular	female	binary	to do-indicative-present-affirmative
12	l* ufficiali delle forze armate aspirano a	9.1.1.1.0	011	648-p-n-*-it	l* ufficiali delle forze armate	plural	neutral	*	to aspire to-indicative-present-affirmative
13	l* ufficiali delle forze armate sono	9.1.1.1.0	011	648-p-n-*-it	l* ufficiali delle forze armate	plural	neutral	*	to be-indicative-present-affirmative
14	l* ufficiali delle forze armate sono considerat*	9.1.1.1.0	011	648-p-n-*-it	l* ufficiali delle forze armate	plural	neutral	*	to be considered-indicative-present-affirmative
15	l* ufficiali delle forze armate fanno	9.1.1.1.0	011	648-p-n-*-it	l* ufficiali delle forze armate	plural	neutral	*	to do-indicative-present-affirmative
16	gli ufficiali delle forze armate aspirano a	9.1.1.1.0	011	648-p-m-b-it	gli ufficiali delle forze armate	plural	male	binary	to aspire to-indicative-present-affirmative
17	gli ufficiali delle forze armate sono	9.1.1.1.0	011	648-p-m-b-it	gli ufficiali delle forze armate	plural	male	binary	to be-indicative-present-affirmative
18	gli ufficiali delle forze armate sono considerati	9.1.1.1.0	011	648-p-m-b-it	gli ufficiali delle forze armate	plural	male	binary	to be considered-indicative-present-affirmative
19	gli ufficiali delle forze armate fanno	9.1.1.1.0	011	648-p-m-b-it	gli ufficiali delle forze armate	plural	male	binary	to do-indicative-present-affirmative
20	le ufficiali delle forze armate aspirano a	9.1.1.1.0	011	648-p-f-b-it	le ufficiali delle forze armate	plural	female	binary	to aspire to-indicative-present-affirmative
21	le ufficiali delle forze armate sono	9.1.1.1.0	011	648-p-f-b-it	le ufficiali delle forze armate	plural	female	binary	to be-indicative-present-affirmative
22	le ufficiali delle forze armate sono considerate	9.1.1.1.0	011	648-p-f-b-it	le ufficiali delle forze armate	plural	female	binary	to be considered-indicative-present-affirmative
23	le ufficiali delle forze armate fanno	9.1.1.1.0	011	648-p-f-b-it	le ufficiali delle forze armate	plural	female	binary	to do-indicative-present-affirmative
24	l* sergent*, sovraintendent* e maresciall* delle forze armate aspira a	9.2.1.1.0	021	649-sp-n-*-it	l* sergent*, sovraintendent* e maresciall* delle forze armate	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
25	l* sergent*, sovraintendent* e maresciall* delle forze armate aspirano a	9.2.1.1.0	021	649-sp-n-*-it	l* sergent*, sovraintendent* e maresciall* delle forze armate	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
26	l* sergent*, sovraintendent* e maresciall* delle forze armate è	9.2.1.1.0	021	649-sp-n-*-it	l* sergent*, sovraintendent* e maresciall* delle forze armate	singular, plural	neutral	*	to be-indicative-present-affirmative
27	l* sergent*, sovraintendent* e maresciall* delle forze armate sono	9.2.1.1.0	021	649-sp-n-*-it	l* sergent*, sovraintendent* e maresciall* delle forze armate	singular, plural	neutral	*	to be-indicative-present-affirmative
28	l* sergent*, sovraintendent* e maresciall* delle forze armate è considerat*	9.2.1.1.0	021	649-sp-n-*-it	l* sergent*, sovraintendent* e maresciall* delle forze armate	singular, plural	neutral	*	to be considered-indicative-present-affirmative
29	l* sergent*, sovraintendent* e maresciall* delle forze armate sono considerat*	9.2.1.1.0	021	649-sp-n-*-it	l* sergent*, sovraintendent* e maresciall* delle forze armate	singular, plural	neutral	*	to be considered-indicative-present-affirmative
30	l* sergent*, sovraintendent* e maresciall* delle forze armate fa	9.2.1.1.0	021	649-sp-n-*-it	l* sergent*, sovraintendent* e maresciall* delle forze armate	singular, plural	neutral	*	to do-indicative-present-affirmative
31	l* sergent*, sovraintendent* e maresciall* delle forze armate fanno	9.2.1.1.0	021	649-sp-n-*-it	l* sergent*, sovraintendent* e maresciall* delle forze armate	singular, plural	neutral	*	to do-indicative-present-affirmative
32	il sergente, sovraintendente e maresciallo delle forze armate aspira a	9.2.1.1.0	021	649-s-m-b-it	il sergente, sovraintendente e maresciallo delle forze armate	singular	male	binary	to aspire to-indicative-present-affirmative
33	il sergente, sovraintendente e maresciallo delle forze armate è	9.2.1.1.0	021	649-s-m-b-it	il sergente, sovraintendente e maresciallo delle forze armate	singular	male	binary	to be-indicative-present-affirmative
34	il sergente, sovraintendente e maresciallo delle forze armate è considerato	9.2.1.1.0	021	649-s-m-b-it	il sergente, sovraintendente e maresciallo delle forze armate	singular	male	binary	to be considered-indicative-present-affirmative
35	il sergente, sovraintendente e maresciallo delle forze armate fa	9.2.1.1.0	021	649-s-m-b-it	il sergente, sovraintendente e maresciallo delle forze armate	singular	male	binary	to do-indicative-present-affirmative
36	la sergente, sovraintendente e marescialla delle forze armate aspira a	9.2.1.1.0	021	649-s-f-b-it	la sergente, sovraintendente e marescialla delle forze armate	singular	female	binary	to aspire to-indicative-present-affirmative
37	la sergente, sovraintendente e marescialla delle forze armate è	9.2.1.1.0	021	649-s-f-b-it	la sergente, sovraintendente e marescialla delle forze armate	singular	female	binary	to be-indicative-present-affirmative
38	la sergente, sovraintendente e marescialla delle forze armate è considerata	9.2.1.1.0	021	649-s-f-b-it	la sergente, sovraintendente e marescialla delle forze armate	singular	female	binary	to be considered-indicative-present-affirmative
